origin,dest,count
270170701001,270170701001,1656
270170701001,270170701002,77
270170701001,270170701003,31
270170701001,270170701004,240
270170701001,270170701005,200
270170701001,270170702001,22
270170701001,270170702002,198
270170701001,270170702003,106
270170701001,270170702004,141
270170701001,270170703002,11
270170701001,270170704011,499
270170701001,270179400001,4
270170701001,270179400002,7
270170701001,271370111023,32
270170701002,270170701001,81
270170701002,270170701002,158
270170701002,270170701003,78
270170701002,270170701004,203
270170701002,270170701005,99
270170701002,270170702001,104
270170701002,270170702002,208
270170701002,270170702003,48
270170701002,270170702004,170
270170701002,270170703002,1
270170701002,270170704011,215
270170701002,270170704012,1
270170701002,270170704021,1
270170701002,270179400001,4
270170701002,270179400002,12
270170701003,270170701001,32
270170701003,270170701002,74
270170701003,270170701003,90
270170701003,270170701004,77
270170701003,270170701005,38
270170701003,270170702001,64
270170701003,270170702002,165
270170701003,270170702003,29
270170701003,270170702004,219
270170701003,270170703002,2
270170701003,270170704011,122
270170701003,270179400002,3
270170701004,270170701001,271
270170701004,270170701002,184
270170701004,270170701003,80
270170701004,270170701004,697
270170701004,270170701005,209
270170701004,270170702001,189
270170701004,270170702002,450
270170701004,270170702003,95
270170701004,270170702004,155
270170701004,270170704011,446
270170701004,270170704012,1
270170701004,270179400001,5
270170701004,270179400002,14
270170701005,270170701001,171
270170701005,270170701002,82
270170701005,270170701003,36
270170701005,270170701004,209
270170701005,270170701005,491
270170701005,270170702001,96
270170701005,270170702002,299
270170701005,270170702003,114
270170701005,270170702004,189
270170701005,270170704011,363
270170701005,270179400001,7
270170701005,270179400002,19
270170702001,270170701001,28
270170702001,270170701002,88
270170702001,270170701003,63
270170702001,270170701004,163
270170702001,270170701005,93
270170702001,270170702001,633
270170702001,270170702002,406
270170702001,270170702003,79
270170702001,270170702004,481
270170702001,270170703001,1
270170702001,270170703002,55
270170702001,270170704011,312
270170702001,270170704012,16
270170702001,270170704021,8
270170702001,270179400002,5
270170702002,270170701001,197
270170702002,270170701002,249
270170702002,270170701003,179
270170702002,270170701004,585
270170702002,270170701005,279
270170702002,270170702001,425
270170702002,270170702002,2555
270170702002,270170702003,242
270170702002,270170702004,773
270170702002,270170703002,5
270170702002,270170704011,984
270170702002,270170704012,202
270170702002,270170704021,21
270170702002,270179400001,21
270170702002,270179400002,46
270170702003,270170701001,89
270170702003,270170701002,57
270170702003,270170701003,33
270170702003,270170701004,106
270170702003,270170701005,102
270170702003,270170702001,74
270170702003,270170702002,225
270170702003,270170702003,162
270170702003,270170702004,157
270170702003,270170704011,244
270170702003,270179400001,3
270170702003,270179400002,13
270170702004,270170701001,203
270170702004,270170701002,173
